ANIO,CIIU,DESCRIPCION_CIIU,RAZON_SOCIAL_ANONIMIZADA,TIPO,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,NIVEL_DIGITALIZACION,DIG_GENERAL,GESTION_EMPRESARIAL,COMERCIO_ELECTRONICO,ANALISIS_DE_DATOS,MARKETING_DIGITAL,MEDIOS_DE_PAGO,FINANZAS,FECHA_INICIO,FECHA_FIN,TIEMPO_DEMORA_MINUTOS,FECHA_REGISTRO,AUT_PUBLICIDAD,FECHA_PUB_PNDA,SECTOR,CATEGORIA,UBICACION,ID
2024,51430,VTA. MAY. MATERIALES DE CONSTRUCCION.,82A2D8D8B3AE293A3285703BC7A96DB609C39C658D0FE6A6D8D78A28D64CA1E4,JURIDICA,MOQUEGUA,MARISCAL NIETO,SAN ANTONIO,180107,Básico,27.0,29.0,12.0,50.0,20.0,50.0,44.0,2024-09-24,2025-02-12,203083,2024-09-24,SI,2025-03-06,COMERCIO,CONSUMO MASIVO Y RETAIL,MOQUEGUA,0
2024,18100,FAB. DE PRENDAS DE VESTIR.,328C5787F54C2BF8419A542A532B227CB12AEA7D5A2D6AE26413B4FCF428305A,NATURAL,LIMA,LIMA,CARABAYLLO,150106,Inicial,18.0,13.0,12.0,25.0,15.0,25.0,38.0,2024-12-20,2025-02-04,66225,2024-08-08,SI,2025-03-06,MANUFACTURA,MANUFACTURA,LIMA METROPOLITANA,1
2024,91993,ACTIVIDADES OTRAS ASOCIACIONES NCP.,2FB3E3CD0D6E5682729FDEE60BA835349FC1CB376F739960466730532ECABC74,JURIDICA,LIMA,LIMA,PUNTA NEGRA,150127,Inicial,24.0,25.0,0.0,25.0,35.0,75.0,25.0,2024-12-28,2024-12-28,4,2024-12-28,SI,2025-03-06,SERVICIOS,SERVICIOS PROFESIONALES,LIMA METROPOLITANA,2
2024,52593,OTROS TIPOS DE VENTA POR MENOR.,8F38C31B8AD7E848F29EE3E171F9CD37A0ADF3EA580AF18A3F26649E816F9423,NATURAL,LIMA,LIMA,VILLA EL SALVADOR,150142,Básico,32.0,33.0,12.0,50.0,35.0,25.0,56.0,2024-12-26,2024-12-26,4,2024-12-26,SI,2025-03-06,COMERCIO,CONSUMO MASIVO Y RETAIL,LIMA METROPOLITANA,3
2024,74996,OTRAS ACTIVIDADES EMPRESARIALES NCP.,1AE8FD4ECF55C6FA01917BD4F91890922D167B604CC8E8A2EDD277751250C4EB,JURIDICA,AMAZONAS,BAGUA,BAGUA,10201,Básico,35.0,13.0,62.0,25.0,25.0,25.0,56.0,2024-12-26,2024-12-26,4,2024-12-26,SI,2025-03-06,SERVICIOS,SERVICIOS PROFESIONALES,AMAZONAS,4
2024,51212,VTA.  MAY. DE MATERIAS PRIMAS AGROPEC.,F4C87AEC27FAB361F6EF37F8789E4EC26E99C9FDCE0CC305810312103DAC0010,JURIDICA,CAJAMARCA,JAEN,JAEN,60801,Inicial,6.0,17.0,0.0,0.0,0.0,0.0,25.0,2024-12-26,2024-12-26,3,2024-12-26,SI,2025-03-06,COMERCIO,CONSUMO MASIVO Y RETAIL,CAJAMARCA,5
2024,18100,FAB. DE PRENDAS DE VESTIR.,6CE1E42A3521AA376FC8BE960032164699FC5429C17266E445BC0F6E1F75AA22,JURIDICA,LIMA,LIMA,SAN BORJA,150130,Intermedio,61.0,54.0,88.0,50.0,58.0,50.0,38.0,2024-12-20,2024-12-20,1,2024-12-20,SI,2025-03-06,MANUFACTURA,MANUFACTURA,LIMA METROPOLITANA,6
2024,15130,"ELAB. FRUTAS, LEG. Y HORTALIZAS.",BD8FBBBBD48C9EA0380D23C99DA5B4C133644C7D4DCDC0DDF331A31349DD0F39,JURIDICA,LIMA,LIMA,SAN BORJA,150130,Básico,46.0,46.0,50.0,50.0,37.0,25.0,69.0,2024-12-20,2024-12-20,1,2024-12-20,SI,2025-03-06,MANUFACTURA,MANUFACTURA,LIMA METROPOLITANA,7
2024,52391,OTROS TIPOS DE VENTA AL POR MENOR.,29F2D92F164E705D47323B2F1DDF188D2B9B6FD8EACD40293DCD68B5AE7C1D19,NATURAL,LIMA,LIMA,LA VICTORIA,150115,Inicial,18.0,13.0,38.0,0.0,15.0,25.0,6.0,2024-12-20,2024-12-20,2,2024-12-20,SI,2025-03-06,COMERCIO,CONSUMO MASIVO Y RETAIL,LIMA METROPOLITANA,8
2024,63093,ORGANIZACION DEL TRANSPORTE,D59047A36540627A3937431C1B1E320DB252712F7648407586BDA58B3E2533CB,JURIDICA,LIMA,LIMA,INDEPENDENCIA,150112,Intermedio,53.0,58.0,50.0,50.0,52.0,25.0,69.0,2024-12-20,2024-12-20,0,2024-12-20,SI,2025-03-06,SERVICIOS,LOGÍSTICA Y TRANSPORTE,LIMA METROPOLITANA,9
2024,72202,CONSULTORES  PROG. Y SUMIN. INFORMATIC.,94900E10B3529E8F6C51F23E6383F105CCEAFD752E028F66AA974E5A76047DDD,JURIDICA,LIMA,LIMA,ATE,150103,Básico,49.0,63.0,50.0,50.0,42.0,25.0,50.0,2024-12-20,2024-12-20,1,2024-12-20,SI,2025-03-06,SERVICIOS,SERVICIOS PROFESIONALES,LIMA METROPOLITANA,10
